Compound	HMDB	Kegg
2-PG	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB03391</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00631</a>
CPD0-1110	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB12194</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08353</a>
THIOGLYCOLATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02086</a>
DADP	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01508</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00206</a>
CPD-22911		
CPD-17964		
CPD-19138		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21294</a>
CPD-21549		
CPD-14997		
5-TERT-BUTYLAMINOL-2-HYDROXYPRO-34-DIHYD		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04883</a>
4-HYDROXY-BUTYRYL-COA		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11062</a>
CPD-20492		
CPD-24541		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18418</a>
CPD-20807		
CPD-25610		
CPD-10866		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C14219</a>
CPD-8427		
CPD-9030		
CPD-26100		
CPD-26679		
CPD-25630		
CPD-18990	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31409</a>	
CPD-18211		
CPD-23357		
CPD-19058		
CPD-26410		
CPD-14605	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB60650</a>	
CPD-15476		
8-SELENO-OCTANOATE		
CPD-14000		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20221</a>
CPD-21224		
CPD-711		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C15788</a>
CPD2B4Q-20		
CPD-20954		
CPD-22784		
CPD-25108		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D04863</a>
17-O-ACETYLNORAJMALINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C11809</a>
CPD-9954	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB01943</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02765</a>
CPD-234	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06955</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04604</a>
CPD-23360		
CPD-13174		
CPD-26615		
CPD-13527		
CPD-24440		
CPD-12253		
CPD0-1712		
CPD1F-84		
CPD-19342		
3-METHYLBENZYLSUCCINATE		
CPD-7816		
CPD-22380		
CPD0-2355		
CPD0-1594		
HOPAN-22-OL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06309</a>
CPD-8800		
CPD-26149		
OROTIDINE-5-PHOSPHATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00218</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01103</a>
CPD-7714		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12096</a>
CPD-20245		
CPD-11782		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C10200</a>
CPD-20487		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21834</a>
CPD-19227		
CPD-6645	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38899</a>	
CPD-16968		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22145</a>
CPD-30	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB04226</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05936</a>
CPD-13488		
CPD-8530		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04674</a>
CPD-15004		
CPD-5802		
CPD-10604		
CPD-20320		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D05621</a>
CPD-21592		
CPD-12803		
CPD-3571	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB31193</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19806</a>
CPD-21274		
D-TYROSINE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06420</a>
CPD0-1329		
CPD-22862		
CPD-9208		
CPD-24062		
CPD-16628		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20806</a>
CPD-25158		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D08149</a>
CPD-22255		
CPD-19668		
CPD-10803		
CPD-23949		
CPD-19641		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D05283</a>
CPD-984		
PROPIONYL_ADENYLATE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06806</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C05983</a>
VICIANOSE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01625</a>
3-OH-BENZALDEHYDE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03067</a>
CPD-10390		
CPD-13933		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20228</a>
CPD-13804	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14344</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01912</a>
CPD-15953	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38744</a>	
CPD-13069		
CPD-15567		
CPD-26466		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01552</a>
CPD-24208		
CPD-4945	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB41628</a>	
CPD-15547		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20761</a>
CPD-12245	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14653</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06689</a>
CPD-25368		
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02022</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03838</a>
CPD-18977		
CPD-26237		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08799</a>
CPD-15576	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB34534</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C17543</a>
CPD-17360		
CPD185E-7		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D02179</a>
CPD-8428		
CPD-23513		
CPD-16626		
CPD-15389		
CPD-15378		
CPD-17152		
SPHINGOSINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00252</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00319</a>
CPD-11625		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19778</a>
CPD-8260	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB10570</a>	
CPD-23635		
CPD1G-1344		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04218</a>
UBIQUINONE-2	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06709</a>	
CPD-16937		
CPD-6627		
CPD-8120	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB02925</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03242</a>
CPD-15141	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB14387</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D01370</a>
CPD-17962		
CPD-19418		
CPD0-1499		
K+	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB00586</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C00238</a>
CPD-25524		
CPD-23255		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C19087</a>
CPD-12837		
CPDQT-284		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C08400</a>
CPD-23950		
CPD-7120	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB30610</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16416</a>
CPD-18131		
CPD-26521		
CPD-20110		
CPD-18790	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB36593</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21293</a>
5-AMINO-4-CHLORO-2-23-DIHYDROXYPHENYL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C04798</a>
CPD-15582		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09814</a>
CPD-25080		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13038</a>
CPD-25129		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01608</a>
CPD-13001		
CPD-20146		
CPD-3744		
CPD-18546		
CPD-24246		
BIS-GAMMA-GLUTAMYLCYSTINE	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB38458</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03646</a>
CPD-15730		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12426</a>
CPD-20450		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21729</a>
CPD2DNV-14		
CPD-540		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C03947</a>
CPD2B4Q-6		
GAMA-TOCOPHEROL		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C02483</a>
LINOLENOYL-COA	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB06290</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C16162</a>
CPD-7147		
CPD-20992		
CPD-22766		
