Compound	HMDB	Kegg
CPD-10638		
CPD-6941		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18399'>C18399</a>
CPD-18475		
CPD-10851		
CPD-10634		
CPD-24784		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08039'>C08039</a>
DECAPRENOL-PHOSPHATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02970'>C02970</a>
CPD-10848		
CHLOROACETIC-ACID	<a href='http://www.hmdb.ca/metabolites/HMDB31331'>HMDB31331</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06755'>C06755</a>
CPD-12594		
CPD-16153		
UNDECAPRENYL-P		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00348'>C00348</a>
CPD-10845	<a href='http://www.hmdb.ca/metabolites/HMDB60369'>HMDB60369</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18310'>C18310</a>
CPD-17820		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20420'>C20420</a>
2-CL-MUCONATE		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03572'>C03572</a>
CPD-9646		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17556'>C17556</a>
CPD-20017		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19130'>C19130</a>
CPD-12587		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20121'>C20121</a>
CPD-945		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06742'>C06742</a>
CPD-16023		
CPD-15579	<a href='http://www.hmdb.ca/metabolites/HMDB34830'>HMDB34830</a>	
CPD-10842		
CPD-19732		
CPD-22000		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C13918'>C13918</a>
CPD-15408		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20609'>C20609</a>
CPD-10639		
CPD-18476		
CPD-10852		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18303'>C18303</a>
CPD-10635		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12833'>C12833</a>
CPD-8428		
CPD-9824		
CPD-22033		
CPD-14340		
CPD-14339		
CPD-14337		
CPD-14338		
CPD-12706		
CPD-10882		
CPD0-922		
CPD-10879		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16475'>C16475</a>
CPD-12710		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15533'>C15533</a>
CPD-12707		
CPD-10883		
CPD-10880		
CPD-16021		
CPD-12712		
CPD-10884		
CPD-10881		
CPD-5923		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19766'>C19766</a>
CPD-12713		
CPD-13550	<a href='http://www.hmdb.ca/metabolites/HMDB06221'>HMDB06221</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19962'>C19962</a>
CPD-20073		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C21797'>C21797</a>
CPD-13524	<a href='http://www.hmdb.ca/metabolites/HMDB00305'>HMDB00305</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00473'>C00473</a>
CPD-882	<a href='http://www.hmdb.ca/metabolites/HMDB06216'>HMDB06216</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00899'>C00899</a>
CPD-13538	<a href='http://www.hmdb.ca/metabolites/HMDB06217'>HMDB06217</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16682'>C16682</a>
DIIODO-4-HYDROXYPHENYLPYRUVATE	<a href='http://www.hmdb.ca/metabolites/HMDB59637'>HMDB59637</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01244'>C01244</a>
CPD-13010		
CPD-11395	<a href='http://www.hmdb.ca/metabolites/HMDB05869'>HMDB05869</a>	
CPD0-1360		
CPD-17845		
CPD-12288	<a href='http://www.hmdb.ca/metabolites/HMDB00021'>HMDB00021</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02515'>C02515</a>
CPD-17842		
CPD-11214		
CPD-17839		
CPD0-1321		
CPD-17836		
CPD-11410		
CPD-17843		
2-IODOPHENOL-METHYL-ETHER		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03575'>C03575</a>
CPD-17840		
CPD-13023		
CPD-17837		
CPD-11407	<a href='http://www.hmdb.ca/metabolites/HMDB02728'>HMDB02728</a>	
CPD-17844		
CPD-13020		
CPD-17841		
CPD-11403		
CPD-17838		
DIIODO-HYDROXYPHENYL-LACTATE	<a href='http://www.hmdb.ca/metabolites/HMDB59636'>HMDB59636</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04367'>C04367</a>
CPD-17835		
CPD-13016		
CPD-9647		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17558'>C17558</a>
CPD-11396		
CPD-188		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01968'>C01968</a>
CPD0-1363		
CPD-13008	<a href='http://www.hmdb.ca/metabolites/HMDB62348'>HMDB62348</a>	
CPD-11219		
CPD-16974		
CPD0-1344		
