Compound	HMDB	Kegg
CPD-20253		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09698</a>
CPD-15736		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12431</a>
CPD-20155		
CPD-15733		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12429</a>
CPD-20136		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21693</a>
CPD-15808		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C18630</a>
CPD-20085		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C21685</a>
CPD-15721		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12423</a>
CPD-18505		
CPD-15802		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12419</a>
CPD-13875		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C20177</a>
CPD-13973	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15132</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C01661</a>
CPD-13626		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C22012</a>
CPD-15771		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12420</a>
CPD-13303		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C06079</a>
CPD-15738		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12421</a>
CPD-11413		
CPD-15734		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12432</a>
+-epi-beta-santalene		
CPD-15814	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB15308</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>D08062</a>
CPD4FS-7	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB39635</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C13456</a>
CPD-15729		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12422</a>
CPD-8813		
CPD-15806		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12415</a>
CPD-8795		
CPD-15791		
CPD-8752		
CPD-15739		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12427</a>
CPD-8731		
CPD-15735		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12430</a>
CPD-8234	<a href='http://www.hmdb.ca/metabolites/~A'>HMDB61851</a>	<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C09639</a>
CPD-16637		<a href='http://www.genome.ad.jp/dbget-bin/www_bget?~A'>C12381</a>
